Number of Students,88,CO,Successfully Achieved,Successfully Achieved (%),Failed to Achieve,Failed to Achieve (%),,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,CO1,43,48.86363636,45,51.13636364,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,CO2,46,52.27272727,42,47.72727273,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,CO3,31,35.22727273,57,64.77272727,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,CO4,56,63.63636364,32,36.36363636,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,PO2,43,48.86363636,45,51.13636364,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,PO3,46,52.27272727,42,47.72727273,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,PO4,31,35.22727273,57,64.77272727,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,PO6,56,63.63636364,32,36.36363636,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
